Topic,Word,Weight
0,climatica,0.013991463
0,tierra,0.013417447
0,pueblos,0.012485678
0,futuro,0.01208856
0,crisis,0.011104368
0,territorios,0.010770329
0,tiempos,0.010768251
0,pone,0.010213219
0,riesgo,0.010185122
0,catastrofe,0.009114082
1,crisis,0.018529788
1,volver,0.016258202
1,climatica,0.015246364
1,sistemas,0.014640812
1,vida,0.014059715
1,tierra,0.01204889
1,hoy,0.011038734
1,queremos,0.010743756
1,tiempos,0.010339531
1,desigualdad,0.010319575
2,tierra,0.01875413
2,vida,0.0120133115
2,nombramos,0.011693661
2,defensa,0.010888886
2,territorio,0.009380539
2,linguistica,0.009178419
2,diversidad,0.009149779
2,indigenas,0.009118879
2,fronteras,0.009094842
2,estan,0.0077614523
